duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,num_root,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,attack_type
0.0,tcp,private,S0,64.0,0,0,0,0,0,0,0,205,445,0.98,0.04,0.93,0.08,255,112,DoS
11.44,tcp,smtp,SF,296.0,113,0,0,2,4,0,0,68,96,0.06,0.07,0.89,0.02,133,44,BruteForce
0.4,tcp,ssh,SF,1427.0,15225,0,0,0,0,0,0,33,11,0.01,0.06,0.91,0.01,64,222,Normal
6.84,tcp,ssh,SF,177.0,596,0,0,1,2,0,0,38,83,0.19,0.28,0.82,0.06,104,116,BruteForce
1.1,tcp,other,SF,1516.0,4779,0,0,0,0,0,0,29,12,0.01,0.0,0.92,0.06,5,189,Normal
0.54,tcp,ftp,SF,118.0,2633,0,0,0,0,0,0,6,11,0.0,0.0,0.85,0.03,92,176,Normal
4.55,tcp,other,SF,736.0,3291,0,0,0,0,0,0,13,16,0.0,0.0,0.91,0.09,24,237,Normal
8.49,tcp,ssh,REJ,578.0,941,0,0,5,2,0,0,72,27,0.19,0.07,0.82,0.09,119,106,BruteForce
13.54,tcp,smtp,SF,661.0,100,0,0,4,2,1,0,25,30,0.1,0.27,1.0,0.04,62,89,BruteForce
6.01,tcp,ssh,SF,195.0,1010,0,0,4,4,0,0,45,59,0.01,0.13,0.86,0.09,73,115,BruteForce
1.99,tcp,ftp,SF,513.0,5795,0,0,0,0,0,0,12,6,0.0,0.0,0.88,0.0,31,246,Normal
3.2,tcp,smtp,SF,461.0,3335,0,0,0,0,0,0,30,4,0.0,0.0,0.87,0.11,56,236,Normal
0.38,tcp,ssh,REJ,40.0,0,0,0,0,0,0,0,106,5,0.21,0.75,0.06,0.95,193,9,PortScan
0.32,tcp,private,RSTO,0.0,0,0,0,0,0,0,0,274,3,0.28,0.67,0.02,0.88,145,5,PortScan
2.84,udp,http,SF,875.0,12999,0,0,0,0,0,0,24,13,0.0,0.0,0.93,0.14,34,210,Normal
1.27,icmp,ftp,SF,962.0,1304,0,0,0,0,0,0,21,3,0.0,0.01,0.89,0.02,37,105,Normal
0.21,tcp,ftp,SF,1177.0,9078,0,0,0,0,0,0,19,30,0.03,0.0,0.92,0.08,98,178,Normal
0.35,tcp,smtp,SF,627.0,4270,0,0,0,0,0,0,10,10,0.0,0.0,0.83,0.11,27,182,Normal
0.17,tcp,private,RSTO,40.0,0,0,0,0,0,0,0,263,4,0.6,0.53,0.1,0.89,242,4,PortScan
0.46,tcp,other,REJ,40.0,0,0,0,0,0,0,0,137,3,0.31,0.5,0.09,0.93,204,10,PortScan
0.45,tcp,http,REJ,60.0,0,0,0,0,0,0,0,79,4,0.52,0.9,0.17,0.92,157,13,PortScan
10.72,tcp,ftp,SF,760.0,706,0,0,5,4,0,0,63,39,0.1,0.1,0.91,0.05,23,95,BruteForce
0.19,tcp,ssh,S0,60.0,0,0,0,0,0,0,0,86,9,0.53,0.57,0.14,0.92,138,8,PortScan
1.38,tcp,other,SF,808.0,1871,0,0,0,0,0,0,16,27,0.0,0.01,0.85,0.09,70,228,Normal
78.7,udp,dns,SF,238.0,183,0,0,0,0,0,0,47,7,0.14,0.1,0.74,0.59,255,42,Botnet
1.97,tcp,other,SF,2895.0,21641,0,0,0,0,0,0,9,8,0.0,0.0,0.98,0.03,49,91,Normal
1.15,tcp,ftp,SF,70.0,14746,0,0,0,0,0,0,11,4,0.06,0.0,0.87,0.02,64,131,Normal
8.71,tcp,smtp,REJ,442.0,344,0,0,4,3,0,0,75,44,0.0,0.02,0.82,0.08,38,143,BruteForce
