duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,num_root,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,attack_type
81.08,tcp,private,SF,93.0,179,0,0,0,0,0,0,91,41,0.12,0.0,0.41,0.33,255,27,Botnet
5.2,tcp,ftp,SF,407.0,618,0,0,3,3,0,0,92,16,0.19,0.09,0.9,0.1,116,61,BruteForce
94.21,tcp,other,SF,170.0,261,0,0,0,0,0,0,91,5,0.02,0.08,0.65,0.26,255,42,Botnet
73.01,udp,dns,SF,247.0,314,0,0,0,0,0,0,115,18,0.01,0.24,0.79,0.29,255,47,Botnet
0.19,tcp,ftp,SF,217.0,4975,0,0,0,0,0,0,5,5,0.03,0.0,0.91,0.03,28,81,Normal
0.0,tcp,other,REJ,0.0,0,0,0,0,0,0,0,485,219,0.91,0.16,0.99,0.04,255,86,DoS
10.27,tcp,smtp,SF,654.0,815,0,0,4,3,0,0,77,22,0.04,0.31,0.88,0.02,58,112,BruteForce
10.13,tcp,smtp,SF,422.0,524,0,0,3,3,0,0,24,49,0.02,0.09,0.9,0.05,107,121,BruteForce
0.0,udp,http,S0,1024.0,0,0,0,0,0,0,0,440,202,0.77,0.09,0.96,0.1,255,117,DoS
12.87,tcp,smtp,REJ,642.0,703,0,0,4,4,1,0,52,86,0.12,0.21,0.95,0.03,35,93,BruteForce
13.53,tcp,ssh,SF,797.0,1133,0,0,5,3,0,0,71,75,0.05,0.1,0.97,0.06,105,31,BruteForce
14.3,tcp,ftp,SF,687.0,426,0,0,3,2,0,0,12,13,0.09,0.33,0.96,0.08,105,47,BruteForce
6.42,tcp,ssh,SF,210.0,676,0,0,2,2,0,0,10,25,0.04,0.19,0.85,0.05,125,47,BruteForce
50.33,udp,private,SF,213.0,251,0,0,0,0,0,0,132,7,0.19,0.04,0.44,0.29,255,38,Botnet
1.44,tcp,ftp,SF,354.0,104,0,0,4,3,0,0,45,19,0.09,0.21,0.96,0.09,64,31,BruteForce
22.36,tcp,dns,SF,99.0,379,0,0,0,0,0,0,20,49,0.09,0.09,0.61,0.55,255,29,Botnet
50.2,tcp,private,SF,178.0,398,0,0,0,0,0,0,22,12,0.11,0.25,0.71,0.43,255,23,Botnet
0.0,tcp,private,S0,64.0,0,0,0,0,0,0,0,220,179,0.77,0.13,0.96,0.05,255,160,DoS
1.11,tcp,ftp,SF,281.0,308,0,0,4,2,0,0,38,82,0.13,0.05,0.97,0.05,80,149,BruteForce
